species,national_protection,iucn,china_red_list,site_occupancy_pct,independent_events,rai
东北虎 Panthera tigris altaica,Ⅰ,EN,CR,13(18.06),26.0,0.029514263335338787
豹猫 Prionailurus bengalensis,Ⅱ,LC,VU,13(18.06),56.0,0.063569182568422
貉 Nyctereutes procyonoides,Ⅱ,LC,NT,7(9.72),22.0,0.024973607437594362
棕熊 Ursus arctos,Ⅱ,LC,VU,13(18.06),23.0,0.026108771412030468
黑熊 Ursus thibetanus,Ⅱ,VU,VU,20(27.78),33.0,0.03746041115639154
黄喉貂 Martes flavigula,Ⅱ,LC,VU,49(68.06),184.0,0.20887017129624375
紫貂 Martes zibellina,Ⅰ,LC,VU,57(79.17),315.0,0.3575766519473738
黄鼬 Mustela sibirica,,LC,LC,36(50.00),114.0,0.12940869308571623
亚洲狗獾 Meles leucurus,,LC,NT,60(83.33),792.0,0.8990498677533969
野猪 Sus scrofa,,LC,LC,67(93.06),941.0,1.068189299944377
原麝 Moschus moschiferus,Ⅰ,VU,CR,1(1.39),18.0,0.020432951539849933
马鹿 Cervus elaphus,Ⅱ,LC,EN,57(79.17),304.0,0.3450898482285766
狍 Capreolus pygargus,,LC,NT,72(100.00),5057.0,5.740524218723395
獐 Hydropotes inermis,Ⅱ,VU,VU,1(1.39),1.0,0.0011351639744361073
松鼠 Sciurus vulgaris,,LC,NT,56(77.78),880.0,0.9989442975037744
北花松鼠 Tamias sibiricus,,LC,LC,33(45.83),293.0,0.33260304450977946
东北兔 Lepus mandshuricus,,LC,LC,28(38.89),117.0,0.13281418500902456
东北刺猬 Erinaceus amurensis,,LC,LC,15(20.83),30.0,0.03405491923308322
花尾榛鸡 Tetrastes bonasia,Ⅱ,LC,LC,31(43.06),69.0,0.0783263142360914
环颈雉 Phasianus colchicus,,LC,LC,19(26.39),31.0,0.035190083207519325
鸳鸯 Aix galericulata,Ⅱ,LC,NT,3(4.17),5.0,0.0056758198721805365
山斑鸠 Streptopelia orientalis,,LC,LC,12(16.67),43.0,0.048812050900752614
丘鹬 Scolopax rusticola,,LC,LC,1(1.39),2.0,0.0022703279488722147
大杜鹃 Cuculus canorus,,LC,LC,1(1.39),1.0,0.0011351639744361073
苍鹰 Accipiter gentilis,Ⅱ,LC,NT,11(15.28),13.0,0.014757131667669393
松雀鹰 Accipiter virgatus,Ⅱ,LC,LC,2(2.78),2.0,0.0022703279488722147
普通鵟 Buteo japonicus,Ⅱ,LC,LC,1(1.39),1.0,0.0011351639744361073
长尾林鸮 Strix uralensis,Ⅱ,LC,NT,16(22.22),20.0,0.022703279488722146
白背啄木鸟 Dendrocopos leucotos,,LC,LC,5(6.94),8.0,0.009081311795488859
大斑啄木鸟 Dendrocopos major,,LC,LC,1(1.39),1.0,0.0011351639744361073
黑啄木鸟 Dryocopus martius,Ⅱ,LC,LC,1(1.39),1.0,0.0011351639744361073
灰头绿啄木鸟 Picus canus,,LC,LC,4(5.56),24.0,0.027243935386466574
松鸦 Garrulus glandarius,,LC,LC,41(56.94),97.0,0.11011090552030241
星鸦 Nucifraga caryocatactes,,LC,LC,13(18.06),27.0,0.0306494273097749
小嘴乌鸦 Corvus corone,,LC,LC,3(4.17),6.0,0.006810983846616644
大嘴乌鸦 Corvus macrorhynchos,,LC,LC,9(12.50),33.0,0.03746041115639154
沼泽山雀 Poecile palustris,,LC,LC,5(6.94),5.0,0.0056758198721805365
普通䴓 Sitta europaea,,LC,LC,4(5.56),7.0,0.00794614782105275
白眉地鸫 Geokichla sibirica,,LC,LC,14(19.44),22.0,0.024973607437594362
虎斑地鸫 Zoothera aurea,,LC,LC,19(26.39),46.0,0.052217542824060936
灰背鸫 Turdus hortulorum,,LC,LC,11(15.28),60.0,0.06810983846616644
白腹鸫 Turdus pallidus,,LC,LC,22(30.56),63.0,0.07151533038947476
斑鸫 Turdus eunomus,,LC,LC,8(11.11),13.0,0.014757131667669393
红胁蓝尾鸲 Tarsiger cyanurus,,LC,LC,5(6.94),10.0,0.011351639744361073
白鹡鸰 Motacilla alba,,LC,LC,1(1.39),6.0,0.006810983846616644
灰鹡鸰 Motacilla cinerea,,LC,LC,2(2.78),4.0,0.004540655897744429
锡嘴雀 Coccothraustes coccothraustes,,LC,LC,1(1.39),1.0,0.0011351639744361073
白眉鹀 Emberiza tristrami,,LC,NT,1(1.39),1.0,0.0011351639744361073
黄喉鹀 Emberiza elegans,,LC,LC,3(4.17),3.0,0.003405491923308322
